duns,ofo_status,ofo_expiry,ofo_issue,certify_status,certify_expiry,certify_issue,status_match,issue_match,expiry_match
153590617,active,10/31/2022,10/31/2013,,,,,,
156798501,graduated,10/8/2018,10/8/2009,,,,,,
158979497,graduated,7/28/2018,7/28/2009,,,,,,
159766831,withdrawn,10/27/2017,4/25/2012,,,,,,
159992689,graduated,2/8/2019,2/8/2010,,,,,,
163102143,active,2/10/2020,2/10/2011,,,,,,
163544674,graduated,1/11/2018,1/6/2009,,,,,,
165039186,graduated,4/8/2018,4/7/2009,,,,,,
166798673,graduated,11/4/2018,11/4/2009,,,,,,
167012298,graduated,10/22/2018,10/22/2009,,,,,,
167220065,graduated,2/26/2018,2/25/2009,,,,,,
167243281,terminated,3/13/2018,5/15/2012,,,,,,
167525638,graduated,1/11/2018,1/9/2009,,,,,,
168243769,graduated,4/8/2018,4/7/2009,,,,,,
168421308,graduated,6/18/2018,6/18/2009,,,,,,
168523947,active,8/30/2019,8/30/2010,,,,,,
168756935,graduated,1/11/2018,1/6/2009,,,,,,
169199564,active,5/11/2020,5/11/2011,,,,,,
169684375,graduated,7/28/2018,7/28/2009,,,,,,
169731549,graduated,9/21/2018,9/21/2009,,,,,,
170418045,graduated,10/8/2018,10/8/2009,,,,,,
170522804,graduated,11/14/2018,11/14/2009,,,,,,
170564715,withdrawn,11/16/2017,9/17/2009,,,,,,
170936996,withdrawn,11/17/2017,8/31/2009,,,,,,
170951045,graduated,8/11/2018,8/11/2009,,,,,,
171320414,graduated,11/14/2018,11/14/2009,,,,,,
171528396,active,7/27/2021,7/27/2012,,,,,,
171836299,withdrawn,2/1/2018,10/28/2011,,,,,,
173281572,graduated,10/15/2017,10/15/2008,,,,,,
173468138,withdrawn,12/22/2017,10/14/2014,,,,,,
174258090,graduated,8/21/2018,8/21/2009,,,,,,
175896716,graduated,1/7/2019,1/7/2010,,,,,,
176091986,graduated,3/27/2018,3/26/2009,,,,,,
177082620,graduated,8/31/2018,8/31/2009,,,,,,
177422446,graduated,1/23/2019,1/23/2010,,,,,,
177485567,active,5/9/2021,5/9/2012,,,,,,
179233064,graduated,6/30/2018,6/30/2009,,,,,,
